case_id,case_id_in_pack,all_txn_ids_real,prior_cases_real,connected_cards_real,exposure_matches,pattern_grounded
HHG-001,True,True,True,True,True,True
HHG-002,True,True,True,True,True,True
HHG-003,True,True,True,True,True,True
HHG-004,True,True,True,True,True,True
HHG-005,True,True,True,True,True,True
HHG-006,True,True,True,True,True,True
HHG-007,True,True,True,True,True,True
HHG-008,True,True,True,True,True,True
HHG-009,True,True,True,True,True,True
HHG-010,True,True,True,True,True,True
HHG-011,True,True,True,True,True,True
HHG-012,True,True,True,True,True,True
HHG-013,True,True,True,True,True,True
HHG-014,True,True,True,True,True,True
HHG-015,True,True,True,True,True,True
HHG-016,True,True,True,True,True,True
HHG-017,True,True,True,True,True,True
HHG-018,True,True,True,True,True,True
HHG-019,True,True,True,True,True,True
HHG-020,True,True,True,True,True,True
